transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,description
T4999,U018,2023-04-25,Expense,Education,3888.0,Card,Ahmedabad,Movie tickets,BYJU'S ONLINE COURSE
T12828,U133,2022-08-05,Expense,Rent,649.0,,Hyderabad,,ATM WITHDRAWAL
T7403,U091,2023-12-31,Income,Freelance,13239.0,Cash,Bangalore,Books,FREELANCE PAYMENT - TOPTAL
T12350,U097,,Expense,Food,6299.0,Bank Transfer,Ahmedabad,Electricity bill,TRANSACTION
T7495,U088,2022-10-28,Expense,Entertainment,2287.0,Card,Hyderabad,,BOOKMYSHOW ORDER #46048
T12465,U042,2024-04-11,Expense,Food,4168.0,,,,STARBUCKS #42098
T4518,U026,2022-08-16,Expense,Education,828.0,Card,Lucknow,Uber ride,COURSERA ONLINE COURSE
T9824,U061,2024-12-12,Income,Salary,62061.0,Card,Ahmedabad,,SALARY CREDIT - TCS
T0741,U053,2024-03-13,Expense,Utilities,5070.0,UPI,Kolkata,Grocery shopping,ELECTRICITY BILL PAYMENT
T12403,U004,2023-11-10,Income,Others,59543.0,UPI,Lucknow,Gym membership,MISC PYMT #98696
T5282,U016,2022-04-15,Expense,Utilities,,Card,Delhi,,TATA POER POWER CORP BILL
T6861,U112,2021-04-18,Expense,Utilities,4262.0,UPI,Ahmedabad,Uber ride,INTERNET BILL - JIO FIBER FIBER
T9446,U006,2022-06-29,Expense,Utilities,5767.0,Bank Transfer,Bangalore,,JIO FIBER POWER CORP BILL
T3016,U099,2022-02-24,Expense,Rent,23760.0,Card,Bangalore,Electricity bill,MONTHLY RENT PAYMENT
T11564,U148,2023-08-28,Expense,Food,898.0,UPI,Lucknow,Restaurant dinner,CARD PAYMENT #14165
T11382,U111,2023-02-06,Income,Freelance,25143.0,Card,Chennai,,UPWORK PAYOUT #13905
T3133,U024,2024-07-17,Expense,Rent,9567.0,Bank Transfer,Pune,ATM withdrawal,HOUSE RENT TRANSFER
T1982,U089,2021-02-27,Income,Others,49683.0,,Lucknow,,LOCAL STORE GENERAL STORE
T7154,U039,2024-09-21,Expense,Food,222.0,UPI,Bangalore,,SWIGGY ORDER #40495
T2699,U092,2023-02-25,Expense,Travel,2553.0,UPI,Lucknow,Doctor consultation,PETROL PUMP - SPICEJET
T5774,U005,2021-02-14,Expense,Food,7406.0,Card,Bangalore,,DOMINOS PIZZA ORDER
T12850,U076,2021-06-09,Expense,Rent,3010.0,UPI,Kolkata,,RENTAL PAYMENT - UNIT 13478
T5770,U107,,Expense,Health,4846.0,Cash,Chennai,Books,GYM MEMBERSHIP - CULT FIT
T6195,U038,2024-11-20,Income,Salary,855881.0,Bank Transfer,Jaipur,,SALARY CREDIT - HCL
T12096,U075,,Expense,Food,4452.0,Card,Bangalore,,SWIGGY ORDER #95181
T5731,U027,2023-02-04,Expense,Food,2206.0,Bank Transfer,,,STARBUCKS #81426
T0909,U013,2024-04-20,Expense,Entertainment,7038.0,Card,Jaipur,Gym membership,NETFLIX SUBSCRIPTION
T7565,U075,2022-01-24,Expense,Travel,4286.0,Bank Transfer,Hyderabad,,MAKEMYTRIP HOTEL BOOKING
T1653,U099,2024-12-16,Expense,Education,8119.0,Card,Hyderabad,Books,UDEMY COURSE PURCHASE
T6239,U150,2021-12-28,Expense,Education,4189.0,Card,Bangalore,Uber ride,UDEMY TUITION FEE
T2849,U150,2022-10-10,Income,Investment,19947.0,Bank Transfer,Lucknow,Coffee,ZERODHA INVESTMENT
T3127,U023,2021-05-22,Expense,Food,,UPI,,Shopping,NATURE'S BASKET CAFE PAYMENT
T4949,U101,2023-03-01,Expense,Food,3865.0,Bank Transfer,Jaipur,,DOMINOS PIZZA ORDER
T3563,U007,2021-05-05,Expense,Travel,2407.0,Card,Chennai,Internet bill,SHELL AIRLINES BOOKING
T10891,U055,2024-09-08,Expense,Food,3085.0,Card,Jaipur,Electricity bill,ONLINE PAYMENT #54597
T10872,U080,2023-02-22,Expense,Health,5252.0,,Delhi,Online course,MEDICAL LAB TEST #4421
T6786,U017,2022-12-15,Expense,Rent,,Bank Transfer,Hyderabad,Train ticket,RENT - APT 30379
T3396,U136,2021-09-22,Expense,Rent,7619.0,Cash,Pune,Movie tickets,RENT - APT 38221
T1215,U150,2023-12-29,Expense,Others,4823.0,Cash,Ahmedabad,,ATM WITHDRAWAL
T5293,U044,2021-02-23,Expense,Health,8497.0,,Kolkata,Gym membership,DOCTOR CONSULTATION FEE
T12220,U122,2023-11-14,Expense,Food,999999.0,UPI,Lucknow,,PAYMENT
T2003,U149,2021-04-15,Expense,Travel,8241.0,UPI,,Movie tickets,PETROL PUMP - INDIGO
T9452,U062,2023-09-24,Expense,Rent,8579.0,Bank Transfer,Ahmedabad,,LANDLORD PAYMENT REF 59797
T4924,U082,2022-05-25,Expense,Food,235.0,Card,Chennai,ATM withdrawal,POS PURCHASE
T11911,U069,2023-06-22,Expense,Food,1263.0,UPI,Lucknow,,DOMINOS PIZZA ORDER
T11270,U022,2023-08-09,Expense,Health,2134.0,Bank Transfer,Jaipur,Books,ONLINE PAYMENT #55082
T13032,U150,2021-06-19,Expense,Education,2228.0,Cash,Delhi,Movie tickets,BOOKSTORE - UDEMY
T6095,U110,2024-01-11,Expense,Rent,,Bank Transfer,Delhi,ATM withdrawal,MONTHL RENT PAYMENT
