transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,description
T4999,U018,2023-04-25,Expense,Education,3888.0,Card,Ahmedabad,Movie tickets,BOOKSTORE - UDEMY
T12828,U133,2022-08-05,Expense,Rent,649.0,,Hyderabad,,MONTHLY RENT PAYMENT
T7403,U091,2023-12-31,Income,Freelance,13239.0,Cash,Bangalore,Books,CLIENT PAYMENT RECEIVED
T12350,U097,,Expense,Food,6299.0,Bank Transfer,Ahmedabad,Electricity bill,RELIANCE FRESH SUPERMARKET
T7495,U088,2022-10-28,Expense,Entertainment,2287.0,Card,Hyderabad,,SPOTIFY PREMIUM
T12465,U042,2024-04-11,Expense,Food,4168.0,,,,SWIGGY ORDER #39256
T4518,U026,2022-08-16,Expense,Education,828.0,Card,Lucknow,Uber ride,CROSSWORD BOOKSTORE ONLINE COURSE
T9824,U061,2024-12-12,Income,Salary,62061.0,Card,Ahmedabad,,MONTHLY SALARY PAYMENT
T0741,U053,2024-03-13,Expense,Utilities,5070.0,UPI,Kolkata,Grocery shopping,ELECTRICITY BILL PAYMENT
T12403,U004,2023-11-10,Income,Others,59543.0,UPI,Lucknow,Gym membership,LOCAL STORE GENERAL STORE
T5282,U016,2022-04-15,Expense,Utilities,,Card,Delhi,,MOBILE RECHARGE #21395
T6861,U112,2021-04-18,Expense,Utilities,4262.0,UPI,Ahmedabad,Uber ride,ELECTRICITY BILL PAYMENT
T9446,U006,2022-06-29,Expense,Utilities,5767.0,Bank Transfer,Bangalore,,BSES POWER CORP BILL
T3016,U099,2022-02-24,Expense,Rent,23760.0,Card,Bangalore,Electricity bill,LANDLORD PAYMENT REF 14165
T11564,U148,2023-08-28,Expense,Food,898.0,UPI,Lucknow,Restaurant dinner,SPENCER'S SUPERMARKET
T11382,U111,2023-02-06,Income,Freelance,25143.0,Card,Chennai,,CLIENT PAYMENT RECEIVED
T3133,U024,2024-07-17,Expense,Rent,9567.0,Bank Transfer,Pune,ATM withdrawal,MONTHLY RENT PAYMENT
T1982,U089,2021-02-27,Income,Others,49683.0,,Lucknow,,GENERAL MART GENERAL STORE
T7154,U039,2024-09-21,Expense,Food,222.0,UPI,Bangalore,,MORE SUPERMARKET RESTAURANT
T2699,U092,2023-02-25,Expense,Travel,2553.0,UPI,Lucknow,Doctor consultation,IRCTC TICKET BOOKING
T5774,U005,2021-02-14,Expense,Food,7406.0,Card,Bangalore,,BIG BAZAAR RESTAURANT
T12850,U076,2021-06-09,Expense,Rent,3010.0,UPI,Kolkata,,MONTHLY RENT PAYMENT
T5770,U107,,Expense,Health,4846.0,Cash,Chennai,Books,GYM MEMBERSHIP - APOLLO PHARMACY
T6195,U038,2024-11-20,Income,Salary,855881.0,Bank Transfer,Jaipur,,MONTHLY SALARY PAYMENT
T12096,U075,,Expense,Food,4452.0,Card,Bangalore,,GROCERY STORE - BIG BAZAAR
T5731,U027,2023-02-04,Expense,Food,2206.0,Bank Transfer,,,DOMINOS PIZZA ORDER
T0909,U013,2024-04-20,Expense,Entertainment,7038.0,Card,Jaipur,Gym membership,NETFLIX SUBSCRIPTION
T7565,U075,2022-01-24,Expense,Travel,4286.0,Bank Transfer,Hyderabad,,OLA CAB RIDE
T1653,U099,2024-12-16,Expense,Education,8119.0,Card,Hyderabad,Books,SCHOOL FEE PAYMENT
T6239,U150,2021-12-28,Expense,Education,4189.0,Card,Bangalore,Uber ride,SCHOOL FEE PAYMENT
T2849,U150,2022-10-10,Income,Investment,19947.0,Bank Transfer,Lucknow,Coffee,MUTUAL FUND SIP - ZERODHA
T3127,U023,2021-05-22,Expense,Food,,UPI,,Shopping,RELIANCE FRESH PURCHASE
T4949,U101,2023-03-01,Expense,Food,3865.0,Bank Transfer,Jaipur,,GROCERY STORE - BIG BAZAAR
T3563,U007,2021-05-05,Expense,Travel,2407.0,Card,Chennai,Internet bill,INDIGO AIRLINES BOOKING
T10891,U055,2024-09-08,Expense,Food,3085.0,Card,Jaipur,Electricity bill,STARBUCKS #46421
T10872,U080,2023-02-22,Expense,Health,5252.0,,Delhi,Online course,GYM MEMBERSHIP - FORTIS HOSPITAL
T6786,U017,2022-12-15,Expense,Rent,,Bank Transfer,Hyderabad,Train ticket,RENT - APT 38221
T3396,U136,2021-09-22,Expense,Rent,7619.0,Cash,Pune,Movie tickets,HOUSE RENT TRANSFER
T1215,U150,2023-12-29,Expense,Others,4823.0,Cash,Ahmedabad,,ATM WITHDRAWAL
T5293,U044,2021-02-23,Expense,Health,8497.0,,Kolkata,Gym membership,HEALTH INSURANCE PREMIUM
T12220,U122,2023-11-14,Expense,Food,999999.0,UPI,Lucknow,,SWIGGY ORDER #59797
T2003,U149,2021-04-15,Expense,Travel,8241.0,UPI,,Movie tickets,IRCTC TICKET BOOKING
T9452,U062,2023-09-24,Expense,Rent,8579.0,Bank Transfer,Ahmedabad,,RENT - APT 57052
T4924,U082,2022-05-25,Expense,Food,235.0,Card,Chennai,ATM withdrawal,ZOMATO DELIVERY #55082
T11911,U069,2023-06-22,Expense,Food,1263.0,UPI,Lucknow,,STARBUCKS #89131
T11270,U022,2023-08-09,Expense,Health,2134.0,Bank Transfer,Jaipur,Books,HEALTH INSURANCE PREMIUM
T13032,U150,2021-06-19,Expense,Education,2228.0,Cash,Delhi,Movie tickets,UDEMY COURSE PURCHASE
T6095,U110,2024-01-11,Expense,Rent,,Bank Transfer,Delhi,ATM withdrawal,MONTHLY RENT PAYMENT
T0361,U055,2023-08-16,Expense,Utilities,1081.0,Card,Pune,,TATA POWER POWER CORP BILL
T7314,U103,2022-02-26,Expense,Entertainment,371.0,Cash,Mumbai,Uber ride,INOX CINEMA TICKETS
T11430,U108,2021-07-10,Expense,Food,225.0,Card,Pune,,GROCERY STORE - BIG BAZAAR
T12663,U052,2023-04-15,Expense,Rent,23776.0,UPI,Bangalore,Doctor consultation,RENT - APT 20328
T6106,U008,2023-04-23,Expense,Health,6707.0,Card,Delhi,,MEDICAL LAB TEST #82357
T9628,U096,2024-03-22,Expense,Food,8380.0,Bank Transfer,Hyderabad,,SPENCER'S SUPERMARKET
T1623,U017,2021-04-10,Expense,Utilities,601.0,Bank Transfer,Jaipur,Medicine,INTERNET BILL - AIRTEL BROADBAND FIBER
T13765,U034,2024-09-05,Expense,Others,3219.0,Cash,Hyderabad,Internet bill,GENERAL MART GENERAL STORE
T10347,U017,,Expense,Rent,8182.0,Cash,,,RENT - APT 57400
T5930,U011,2024-04-21,Expense,Savings,8111.0,,Delhi,Grocery shopping,RECURRING DEPOSIT TRANSFER
T1627,U069,2022-04-18,Expense,Utilities,5554.0,Bank Transfer,Hyderabad,EMI payment,GAS BILL PAYMENT REF 35203
T4242,U053,2024-08-15,Income,Salary,41573.0,Bank Transfer,Mumbai,Coffee,PAYROLL DEPOSIT #19116
T12437,U004,2024-12-01,Expense,Education,3110.0,Bank Transfer,Chennai,Doctor consultation,BOOKSTORE - CROSSWORD BOOKSTORE
T8670,U030,2024-07-25,Expense,Food,4277.0,Card,Pune,Train ticket,STARBUCKS #96673
T11341,U127,2024-01-17,Expense,Food,3047.0,Card,Mumbai,Grocery shopping,STARBUCKS #39871
T9556,U008,2024-06-27,Income,Freelance,10183.0,,Delhi,,FREELANCE PAYMENT - UPWORK
